UserID,PreferredPetType,LivingSpace,Allergies,ActivityLevel,PastPetExperience,MaxAdoptionFee
1,Dog,Apartment,0,Low,None,244.71
2,Cat,Apartment,1,Moderate,Some,128.74
3,Dog,Apartment,0,High,Some,108.64
4,Dog,Small Space,0,Low,Experienced,229.72
5,Bird,House,0,High,Experienced,152.73
6,Dog,House,0,High,Some,82.21
7,Cat,House,0,Moderate,Some,272.85
8,Dog,Apartment,0,High,Some,304.63
9,Cat,House,1,Moderate,Some,316.79
10,Cat,Small Space,1,Moderate,Some,214.03
11,Dog,House,0,High,Some,246.94
12,Dog,Small Space,0,High,Some,302.74
13,Dog,Apartment,0,Moderate,Some,151.89
14,Cat,Apartment,0,Moderate,Some,283.3
15,Rabbit,Small Space,0,Low,Experienced,220.65
16,Cat,Small Space,0,Low,Some,268.53
17,Cat,Small Space,0,Moderate,Some,213.96
18,Dog,House,1,High,Some,297.22
19,Dog,Small Space,0,Moderate,Some,216.76
20,Dog,Small Space,0,Low,None,88.7
21,Dog,Small Space,0,Low,None,308.89
22,Dog,House,0,Moderate,Some,128.94
23,Cat,Apartment,1,Low,Some,293.98
24,Cat,Small Space,0,Low,Experienced,193.23
25,Bird,House,1,High,Some,288.2
26,Dog,House,1,Low,Some,285.11
27,Cat,House,0,Moderate,None,232.26
28,Rabbit,House,0,High,None,238.14
29,Cat,House,1,Low,Experienced,231.7
30,Dog,Apartment,1,Moderate,None,50.0
31,Dog,Small Space,0,Moderate,Some,208.87
32,Dog,House,0,Moderate,Some,116.3
33,Dog,House,0,Moderate,Some,212.84
34,Rabbit,Apartment,0,Moderate,Experienced,114.28
35,Dog,Apartment,0,High,Some,111.13
36,Dog,Apartment,1,High,None,320.37
37,Rabbit,House,0,Moderate,Experienced,280.21
38,Rabbit,Apartment,0,Low,Experienced,199.69
39,Cat,Small Space,0,Low,None,213.86
40,Cat,Apartment,0,Low,None,181.41
41,Dog,Apartment,0,Moderate,None,242.74
42,Dog,Apartment,1,Low,None,149.3
43,Dog,Apartment,0,Moderate,Experienced,274.53
44,Cat,House,0,High,Some,181.02
45,Bird,Small Space,0,Low,Some,168.51
46,Dog,House,0,High,Experienced,201.63
47,Cat,Apartment,0,High,Some,155.66
48,Dog,Apartment,0,Low,Some,224.65
49,Cat,House,0,High,Experienced,159.7
50,Dog,Small Space,0,High,Experienced,235.14
51,Dog,Apartment,0,Moderate,Experienced,291.2
52,Rabbit,House,0,Low,Some,146.05
53,Cat,House,1,Moderate,Experienced,190.21
54,Cat,Apartment,0,High,None,234.6
55,Dog,House,0,Moderate,Some,167.31
56,Dog,Apartment,0,Low,Experienced,234.82
57,Dog,House,0,Moderate,None,241.65
58,Rabbit,Apartment,0,Moderate,Experienced,281.24
59,Bird,House,0,Moderate,Some,154.55
60,Cat,Apartment,0,High,None,129.29
61,Dog,Small Space,0,Moderate,Experienced,176.93
62,Rabbit,Apartment,1,High,None,127.42
63,Cat,Small Space,0,High,Some,242.34
64,Cat,Small Space,0,Moderate,None,112.87
65,Dog,Small Space,0,Low,Experienced,374.98
66,Rabbit,House,1,High,None,297.19
67,Cat,House,1,High,None,200.94
68,Rabbit,Apartment,0,Low,None,265.05
69,Rabbit,Apartment,0,Moderate,Experienced,77.24
70,Dog,House,0,Low,Experienced,389.25
71,Rabbit,Apartment,0,High,Experienced,155.73
72,Rabbit,Small Space,0,High,Some,190.96
73,Dog,Apartment,0,Low,Some,60.81
74,Dog,House,0,High,None,236.47
75,Dog,House,1,Low,Some,117.02
76,Cat,House,1,High,None,207.62
77,Dog,House,0,Moderate,Experienced,159.18
78,Cat,Apartment,0,Moderate,Experienced,119.17
79,Dog,House,1,Low,Some,139.67
80,Rabbit,Apartment,0,Low,None,216.93
81,Dog,Small Space,0,Moderate,Experienced,103.89
82,Dog,House,0,Moderate,None,143.84
83,Cat,Small Space,0,Low,None,249.75
84,Cat,Apartment,0,Low,None,395.19
85,Dog,Apartment,0,Low,Some,235.82
86,Dog,Apartment,0,High,Experienced,131.21
87,Dog,Apartment,0,High,Some,172.47
88,Rabbit,Apartment,0,Low,None,202.37
89,Rabbit,House,0,Moderate,Some,173.79
90,Cat,Apartment,1,Low,Experienced,267.73
91,Rabbit,House,0,High,None,216.31
92,Rabbit,Small Space,0,High,None,268.09
93,Dog,House,0,Moderate,Experienced,176.42
94,Bird,Apartment,0,High,Experienced,299.41
95,Rabbit,Apartment,0,High,Experienced,187.51
96,Dog,House,0,High,Experienced,127.16
97,Dog,Apartment,0,Moderate,None,363.3
98,Dog,House,0,Moderate,None,63.13
99,Dog,Apartment,0,Low,Some,144.59
100,Rabbit,Small Space,0,Moderate,Some,152.97
101,Cat,House,0,Moderate,Experienced,388.12
102,Rabbit,House,0,Low,Experienced,335.51
103,Rabbit,Apartment,0,Low,Experienced,312.04
104,Cat,Apartment,0,Moderate,None,175.2
105,Cat,House,0,Low,Experienced,381.96
106,Dog,House,0,Moderate,Experienced,227.63
107,Dog,Apartment,0,High,None,273.29
108,Cat,Apartment,0,High,Experienced,213.48
109,Dog,Apartment,0,Moderate,None,196.29
110,Dog,House,0,Moderate,None,181.12
111,Rabbit,Apartment,0,Moderate,Some,184.28
112,Cat,House,1,Low,Some,245.64
113,Dog,House,1,High,None,227.54
114,Cat,House,0,Low,Some,197.64
115,Rabbit,Small Space,0,Low,Experienced,313.21
116,Dog,Small Space,0,High,Some,50.0
117,Dog,House,0,Low,Experienced,238.24
118,Bird,Apartment,0,Moderate,None,253.83
119,Dog,House,0,Low,None,286.02
120,Dog,House,1,Low,None,195.13
121,Cat,House,0,Low,None,215.59
122,Rabbit,House,0,Low,None,273.95
123,Dog,Apartment,0,Moderate,None,311.84
124,Dog,House,0,High,Some,177.46
125,Dog,Apartment,1,Moderate,Some,220.02
126,Bird,House,1,High,Experienced,325.89
127,Dog,Apartment,1,Low,None,50.0
128,Cat,House,0,Moderate,Some,148.25
129,Bird,Apartment,0,Low,None,309.94
130,Dog,House,0,Moderate,Some,281.94
131,Bird,House,0,Moderate,None,239.18
132,Bird,Apartment,0,Moderate,Experienced,166.36
133,Rabbit,House,0,High,Experienced,133.86
134,Dog,House,0,Moderate,Some,155.66
135,Cat,House,0,Moderate,None,316.1
136,Rabbit,Apartment,0,High,Some,152.87
137,Bird,House,0,Low,Experienced,207.61
138,Dog,House,0,Moderate,None,143.47
139,Rabbit,House,0,High,Some,263.21
140,Dog,House,0,Moderate,Experienced,159.6
141,Dog,House,0,Low,Experienced,192.68
142,Cat,Apartment,0,Moderate,Experienced,73.75
143,Rabbit,Apartment,1,Moderate,Experienced,79.0
144,Cat,Apartment,0,Moderate,Experienced,200.58
145,Cat,Apartment,0,Low,Some,100.61
146,Bird,House,0,High,Some,357.88
147,Dog,House,1,High,Experienced,50.0
148,Cat,Apartment,0,Moderate,Some,139.99
149,Dog,Small Space,0,Moderate,Experienced,201.25
150,Dog,House,0,High,None,172.62
151,Cat,Small Space,0,Low,Some,117.19
152,Bird,House,0,Low,None,128.16
153,Cat,House,0,Moderate,None,125.7
154,Rabbit,Apartment,1,High,None,178.5
155,Dog,Apartment,1,Low,Experienced,346.39
156,Dog,Apartment,0,High,None,205.85
157,Cat,House,0,Moderate,Experienced,288.72
158,Dog,Apartment,0,Moderate,Some,238.02
159,Dog,House,1,Low,None,283.54
160,Cat,Apartment,0,Low,None,50.0
161,Dog,Small Space,1,High,Some,177.17
162,Dog,Apartment,0,High,Experienced,298.04
163,Cat,Apartment,0,Moderate,Experienced,157.12
164,Cat,Apartment,1,High,Experienced,332.19
165,Bird,House,0,High,Experienced,311.29
